74f2059 was Fabian Siatama, 4 months ago, message: finaliza jornada QH 27-11-2014
dde97c4 was Fabian Siatama, 4 months ago, message: finaliza jornada QH 27-11-2014
d396c08 was Fabian Siatama, 4 months ago, message: finaliza jornada QH 26-11-2014
06813dc was Fabian Siatama, 4 months ago, message: finaliza jornada QH 25-11-2014
90defc1 was Fabian Siatama, 4 months ago, message: fin jornada 24-11-2014
7e56ac2 was Fabian Siatama, 4 months ago, message: finaliza jornada QH 24-11-2014
a93238b was Fabian Siatama, 4 months ago, message: finaliza jornada QH 24-11-2014
0cf4e7e was Fabian Siatama, 4 months ago, message: fin jornada 23-11-2014
f192d44 was Fabian Siatama, 4 months ago, message: finaliza jornada QH 21-11-2014
47e351f was Fabian Siatama, 4 months ago, message: finaliza jornada QH 20-11-2014
4b53770 was Fabian Siatama, 4 months ago, message: fin jornada 19-11-2014
dd28b8b was Fabian Siatama, 4 months ago, message: finaliza jornada QH 19-11-2014
33e4332 was Fabian Siatama, 4 months ago, message: fin jornada 18-11-2014
9db0ed6 was Fabian Siatama, 4 months ago, message: finaliza jornada QH 18-11-2014
8313a69 was Fabian Siatama, 4 months ago, message: fin jornada 17-11-2014
3200ee0 was Fabian Siatama, 4 months ago, message: fin jornada 15-11-2014
b3771b5 was Fabian Siatama, 4 months ago, message: finaliza jornada QH 14-11-2014
677df22 was Fabian Siatama, 4 months ago, message: adicion de tabla correlativas
74e955c was Fabian Siatama, 4 months ago, message: finaliza jornada QH 13-11-2014
143f60a was Fabian Siatama, 4 months ago, message: reinicio de equipo QH 13-11-2014 12:26
9b5bb25 was Fabian Siatama, 4 months ago, message: se incorpora el funcionamiento del menu principal
e7af1ca was Fabian Siatama, 4 months ago, message: finaliza jornada QH 12-11-2014
1feb71f was Fabian Siatama, 4 months ago, message: finaliza jornada QH 11-11-2014
8d0d6a6 was Fabian Siatama, 5 months ago, message: se modifico la tabla category
e8c8dcd was Fabian Siatama, 5 months ago, message: se ajusto GUI de extjs en el app
608de52 was Fabian Siatama, 5 months ago, message: finaliza jornada QH 10-11-2014
f07593e was Fabian Siatama, 5 months ago, message: finaliza jornada QH 10-11-2014
f662cfd was Fabian Siatama, 5 months ago, message: adicion de carpeta de ayuda otros proyectos
0f44c6e was Fabian Siatama, 5 months ago, message: se modifico el generador de classes
5e1a64f was Fabian Siatama, 5 months ago, message: Finaliza jornada QH 07-11-2014
21a7d2a was Fabian Siatama, 5 months ago, message: se creo la capa Ado
a47619f was Fabian Siatama, 5 months ago, message: Finaliza jornada QH 06-11-2014
908ccfe was Fabian Siatama, 5 months ago, message: Finaliza jornada QH 06-11-2014
be57561 was Fabian Siatama, 5 months ago, message: adicion de logo
dfba74e was Fabian Siatama, 5 months ago, message: modificacion config frontend
